N.Pg atto autorizzativo,Anno Pg autorizzativo,Tipo gara,Titolo,Cig,Oggetto atto,Importo appalto (Euro),Tipo appalto,Durata contratto,Utilizzo Mepa,Data pubblicazione su iperbole,Link alla determina pubblica,Oggetto determina,Settore/Dipartimento,Servizio,Ui,Responsabile del procedimento di gara,Responsabile del procedimento,Modalit? di aggiudicazione,Scadenza presentazione offerte,Ora scadenza offerte,Variante tempi di completamento/durata,Importo delle somme liquidate (Euro),N.Pg. atto di aggiudicazione,Anno Pg. atto di aggiudicazione,Data atto aggiudicazione,Aggiudicatario,Partita Iva,Codice fiscale,Importo di aggiudicazione (Euro),Aggiudicazione: Link,Aggiudicazione: Elenco operatori,Aggiudicazione: Esiti,Elaborati di gara: Link,Comunicazioni: Link,Chiarimenti: Link,Lotto: Nr. lotto,Lotto: Codice cig,Lotto: Oggetto Cig,Lotto: Importo (Euro),Lotto: N.Pg. atto autorizzativo,Lotto: Anno Pg. atto di aggiudicazione,Lotto: Data atto aggiudicazione,Lotto: Aggiudicatario,Lotto: Partita Iva,Lotto: Codice fiscale,Lotto: Importo di aggiudicazione (Euro),Lotto: Variante tempi di completamento/durata,Lotto: Importo delle somme liquidate (Euro),Lotto: Elenco operatori: Link,Lotto: Esiti
351883,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Controllo popolazione colombi,ZC61298146,Attivit? di monitoraggio e controllo colombi,5292,Servizi,8,,,http://atti.comune.bologna.it/atti/determine.nsf/0/E7B1AEFC29DC4F55C1257DB800386CE3?opendocument,AFFIDAMENTO ALLA ECOSISTEMA SOC . COOP. A R.L. PER LA REALIZZAZIONE DELLE ATTIVITA ' PER IL MONITORAGGIO E IL CONTROLLO DELLA POPOLAZIONE DEI COLOMBI .,Salute Sport e Citt? Sana,Salute Sport e Citt? Sana,,Maria Adele Mimmi,,,,,,5292,351883,2014,24/12/2014,ECOSISTEMA COOP. SOC. A R.L.,1925531202,,5292,,,,,,,,,,,,,,,,,,,,,
353549,2014,01-PROCEDURA APERTA,Estensione interventi lotta zanzara tigre,0,Estensione affidamento lotta zanzara tigre,12295.08,Servizi,8,,,http://atti.comune.bologna.it/atti/determine.nsf/0/B87A2CAF65098247C1257DB800386CD4?opendocument,ESTENSIONE DELL'AFFIDAMENTO ALLA SOCIETA' BIBLION DI ROMA DEL SERVIZIO PER GLI INTERVENTI LARVICIDI ED ADULTICIDI PER LA LOTTA ALLA ZANZARA TIGRE DERATTIZZAZIONE E DISINFESTAZIONE CONTRO ALTRI INFESTANTI IN AREE DI PERTINENZA COMUNALE NEL TERRITORIO DEL COMUNE DI BOLOGNA.,Salute Sport e Citt? Sana,Salute Sport e Citt? Sana,,Maria Adele Mimmi,,,,,,0,353549,2014,24/12/2014,BIBLION,4387641006,,1229508,,,,,,,,,,,,,,,,,,,,,
336805,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Progetto ROM SINTI CAMINANTI,ZD1126D7DF,Progetto Inclusione bambini Rom Sinti Caminanti,38375,Servizi,184,,,http://atti.comune.bologna.it/atti/determine.nsf/0/558ADC4254715697C1257DB0003547E8?opendocument,AFFIDAMENTO AL CONSORZIO INDACO DELLE ATTIVITA' NECESSARIE ALLA REALIZZAZIONE DELLA SECONDA ANNUALITA' DI SPERIMENTAZIONE DEL PROGETTO PER L'INCLUSIONE DI BAMBINI ROM SINTI E CAMINANTI (RSC). IMPEGNO DELLA RELATIVA SPESA.,Servizi Sociali,Servizi Sociali,,Maria Adele Mimmi,,,,,,0,336805,2014,16/12/2014,CONSORZIO INDACO,3043241201,,38375,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/CBAI-9SDCT2?opendocument,,,,,,,,,,,,,,,,,,,
262,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,NOLEGGIO ATTREZZATURE AUDIOVISIVE,ZE21225D62,NOLEGGIO ATTREZZATURE AUDIOVISIVE PER PROIEZIONE LUNGOMETRAGGIO MASBEDO,3400,Servizi,5,,,http://atti.comune.bologna.it/atti/determine.nsf/0/6E8AAF3C5E57AA08C1257D8100503251?opendocument,NOLEGGIO ATTREZZATURE AUDIOVISIVE PER PROIEZIONE LUNGOMETRAGGIO MASBEDO,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,3400,262,2014,11/12/2014,APPARATI EFFIMERI SRL,3034401202,,3400,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDD49?opendocument,,,,,,,,,,,,,,,,,,,
299,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,RESTAURO OPERA KROKE,Z9F12842E5,"RESTAURO OPERA DI PIT KROKE ""PORTA-PORTA"" AL MAMBO",7000,Servizi,60,,,http://atti.comune.bologna.it/atti/determine.nsf/0/1272FC7ECAAEF45EC1257D810055CD1D?opendocument,"RESTAURO OPERA DI PIT KROKE ""PORTA-PORTA"" AL MAMBO",ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,7000,299,2014,29/12/2014,GIOVANNI E LORENZO MORIGI RESTAURATORI SRL,3805670373,,7000,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDD8A?opendocument,,,,,,,,,,,,,,,,,,,
323515,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Cotrasto emarginazione adulta,Z5B1298ACA,Attivit? facilitazione redazione linee guida per contrasto grave emarginazione adulta in Italia,1000,Servizi,40,,,http://atti.comune.bologna.it/atti/determine.nsf/0/6E6C4822F3D26A8DC1257D9A0043CC68?opendocument,AFFIDAMENTO A FIOPSD DELLA REALIZZAZIONE DI ATTIVITA'DI FACI LITAZIONE SENSIBILIZZAZIONE E ACCOMPAGNAMENTO NELL'AMBITO DEL PROCESSO DI PARTECIPAZIONE AL TAVOLO CONSULTIVO MINISTERIALE PER LA REDAZIONE DELLE LINEE DI INDIRIZZO PER IL CONTRASTO ALLA GRAVE EMARGINAZIONE ADULTA IN ITALIA.,Servizi Sociali,Servizi Sociali,,Maria Adele Mimmi,,,,,,0,323515,2014,21/11/2014,FIOPSD ONLUS,3852830102,,1000,,,,,,,,,,,,,,,,,,,,,
300,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,SERVIZI DI FACCHINAGGIO,Z191283C31,SERVIZI DI FACCHINAGGIO PER SGOMBERO SALA MUSEO ARCHEOLOGICO,3800,Servizi,1,,,http://atti.comune.bologna.it/atti/determine.nsf/0/61EE29D70C305D3CC1257D810055CD5B?opendocument,SERVIZI DI FACCHINAGGIO PER SGOMBERO SALA MUSEO ARCHEOLOGICO,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,3800,300,2014,29/12/2014,NCV SOC.COOP.,512231200,,3800,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDDC3?opendocument,,,,,,,,,,,,,,,,,,,
282,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,RISTAMPA OPUSCOLI DIDATTICI,Z4C12846FF,RISPAMPA OPUISCOLI DIDATTICI PER MUSEO ARCHEOLOGICO-PRIMA PARTE,819.67,Servizi,15,,,http://atti.comune.bologna.it/atti/determine.nsf/0/2772E0878F10D5F6C1257D810055CB7F?opendocument,RISPAMPA OPUISCOLI DIDATTICI PER MUSEO ARCHEOLOGICO-PRIMA PARTE,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,0,282,2014,29/12/2014,SAB SNC,495901209,,81967,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDDHA?opendocument,,,,,,,,,,,,,,,,,,,
298,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,DECORAZIONI PER ART CITY BUS,Z70126686D,REALIZZAZIONE STAMPATI AUTOADESIVI PER ARTCITY BUS,6506,Servizi,15,,,http://atti.comune.bologna.it/atti/determine.nsf/0/EEEF1BEC3825BC49C1257D810055CD02?opendocument,REALIZZAZIONE STAMPATI AUTOADESIVI PER ARTCITY BUS,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,6506,298,2014,23/12/2014,IGP DECAUX,893300152,,6506,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDDMH?opendocument,,,,,,,,,,,,,,,,,,,
256,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,REALIZZAZIONE PARETE IGNIFUGA,Z0F1226052,REALIZZAZIONE PARETE IGNIFUGA PER MOSTRA CARROLL,550,Lavori,10,,,http://atti.comune.bologna.it/atti/determine.nsf/0/EFF8FD061059CDA5C1257DA90045922A?opendocument,REALIZZAZIONE PARETE IGNIFUGA PER MOSTRA CARROLL,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,550,256,2014,09/12/2014,OASI ALLESTIMENTI SRL,2405981206,,550,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDDQZ?opendocument,,,,,,,,,,,,,,,,,,,
295229,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,Iterventi rivolti a persone con problemi di dipendenza,0,Interventi rivolti a persone con problemi di dipendenza,251000,Servizi,365,,,http://atti.comune.bologna.it/atti/determine.nsf/0/4B68FCA0FF2A6C30C1257D8100463CA2?opendocument,IMPEGNO DELLA SPESA A FAVORE DELL'AUSL DI BOLOGNA PER INTERVENTI VARI RIVOLTI A PERSONE CON PROBLEMI DI DIPENDENZA: ATTIVITA' PER INTERVENTI IN SITUAZIONE LAVORATIVA E CONTRIBUTI ECONOMICI PER L'ANNO 2014.,Servizi Sociali,Servizi Sociali,,Maria Adele Mimmi,,,,,,0,295229,2014,23/11/2014,AZIENDA USL DI BOLOGNA,2406911202,,251000,,,,,,,,,,,,,,,,,,,,,
288,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,REALIZZAZIONE VIDEO E INTERFACCIA GRAFICA,ZD31250F83,REALIZZAZIONE VIDEO E INTERFACCIA GRAFICA SU ANDREA ROMAGNOLI PER MUSEO PATRIMONIO INDUSTRIALE,3000,Servizi,15,,,http://atti.comune.bologna.it/atti/determine.nsf/0/0F88AD0DE65015DCC1257D810055CC07?opendocument,REALIZZAZIONE VIDEO E INTERFACCIA GRAFICA SU ANDREA ROMAGNOLI PER MUSEO PATRIMONIO INDUSTRIALE,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,3000,288,2014,18/12/2014,ECLETTICA DI PATRIZIA BICCHIERINI,3104821206,,3000,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDDUY?opendocument,,,,,,,,,,,,,,,,,,,
278,2014,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,ADEGUAMENTO SISTEMI SICUREZZA,Z84123F374,ADEGUAMENTO SISTEMI DI SICUREZZA SEDI ISTITUZIONE BOLOGNA MUSEI,13620,Forniture,60,,,,ADEGUAMENTO SISTEMI DI SICUREZZA SEDI ISTITUZIONE BOLOGNA MUSEI,ISTITUZIONE BOLOGNA MUSEI,,,GIANFRANCO MARANIELLO,,,,,,0,278,2014,23/12/2014,DAB SISTEMI INTEGRATI SRL,947931002,,13620,,http://atti.comune.bologna.it/webpub/wpub_trasp_gare.nsf/Attkey/EGEA-9SDE26?opendocument,,,,,,,,,,,,,,,,,,,
